Discussed	Authors	Title	Year	Abstract
	Piunti M.; Ricci A.; Santi A.	SOA/WS applications using cognitive agents working in CArtAgO environments	2009	In this paper we propose a programming model and the supporting technologies for designing and programming Service-Oriented Architectures (SOA) in the perspective of Multi-Agent Systems and agent-oriented paradigms. In particular, the approach is meant to be useful for the design and programming of complex service-oriented systems, by providing first-class design tools to implement challenging features of nextcoming service applications. Indeed, besides autonomy, loose-coupled interactions, openness, flexibility, etc., the proposed design model promotes: (i) the use of a strong notion of agency, thus agents that can be defined along their mental attitudes to be fully autonomous systems, with pro-active and goal oriented abilities with respect of the achievement of their tasks; (ii) the definition artifact-based work environments where agents are meant to work and interact, thus enabling intelligent and cognitive agents to co-use, expose and manage web service technologies in a suitable functional fashion by the mean of special artifactbased infrastructures. Besides describing the basic concepts underlying the agent and artifact programming model for web services, a developing platform called CArtAgO-WS is introduced along with a describing example explored to show the approach in practice.
	Chella A.; Cossentino M.; Seidita V.	Towards the adoption of a perception-driven perspective in the design of complex robotic systems	2009	Awareness and autonomous interaction with the environment in a robotic system is the base of the new discipline of machine consciousness. In this paper we present the results of a first attempt in order to engineer these robotic systems by applying a Situational Method Engineering approach that extends PASSI and to create a model for conscious systems.
	Chesani F.; Mello P.; Montali M.; Torroni P.	A REC-based commitment tracking tool	2009	[No abstract available]
	Aversa  R.; Beniamino D.M.; Moscato F.; Venticinque S.	Modeling and verification of real-time multi-agent systems: The REMM framework; [Modellazione e verifica di sistemi multi-agente real-time: Il framework REMM]	2009	[No abstract available]
	Poggi A.	Towards a flexible development framework for multi-agent systems	2010	In this paper, we present a software framework, called HDS (Heterogeneous Distributed System), that tries to simplify the realization of distributed applications and, in particular, of multi-agent systems, by: i) abstracting the use of different technologies for the realization of distributed applications on networks of heterogeneous devices connected through a set of different communication transport protocols, ii) merging the client-server and the peer-to-peer paradigms, and iii) implementing all the interactions among the processes of a system through the exchange of typed messages that allow the implementation of a large set of communication protocols and languages.
1	Zambonelli F.; Viroli M.	From service-oriented architectures to nature-inspired pervasive service ecosystems	2010	Emerging pervasive computing scenarios require open service frameworks promoting situated adaptive behaviors and supporting diversity in services and long-term evolvability. We argue that this naturally calls for a nature-inspired approach, in which pervasive services are modeled and deployed as autonomous individuals in an ecosystem of other services, data sources, and pervasive devices. As an evolution of standard service-oriented architectures, we present a general framework framing the concepts expressed, and discuss a number of natural metaphors that we can adopt to concretely incarnate the proposed framework and implement pervasive service ecosystems.
	Grosso A.; Anghinolfi D.; Boccalatte A.; Cannata G.	A context aware multi-robot coordination system based on agent technology	2010	This paper presents an approach for multi-robot coordination based both on coordinated navigation and task allocation method. An ad hoc agent based architecture is defined in order to implement the robot control system in both simulation and real applications. The coordination of the multi-robot system is based on agent interaction and negotiation, and a communication infrastructure based on open web standards is provided. The system employs the RFID technology for building a context aware information system which is the base of the coordination strategies.
1	Fortino G.; Galzarano S.	Programming Wireless Body Sensor Network applications through agents	2010	Wireless Sensor Networks (WSNs) are currently emerging as one of the most disruptive technologies enabling and supporting next generation ubiquitous and pervasive computing scenarios. In particular, Wireless Body Sensor Networks (WBSNs) are conveying notable attention as their real-world applications aim at improving the quality of human beings life by enabling continuous and real-time non-invasive assistance at low cost. This paper proposes a high-level programming approach based on the agent-oriented model to flexibly design and efficiently implement WBSNs applications. The approach is exemplified through a case study concerning a real-time human activity monitoring system which is developed through two different agent-based frameworks: MAPS (Mobile Agent Platform for Sun SPOT) and AFME (Agent Factory Micro Edition). The programming effectiveness of MAPS and AFME with respect to the developed systems is finally discussed.
1	Nardini E.; Viroli M.; Casadei M.; Omicini A.	A self-organising infrastructure for chemical-semantic coordination: Experiments in TuCSoN	2010	Recent works proposed the adoption of a natureinspired approach of chemistry for implementing service architectures suitable for pervasive applications [34]. In particular, [31] proposes a chemical-semantic tuple-space model where coordination of data, devices and software agents - representing the services of the pervasive computing application - are reified into proper tuples managed by the coordination infrastructure. Service coordination is enacted by chemical-like reactions that semantically match those tuples accordingly enacting the desired interaction patterns (composition, aggregation, competition, contextualisation, diffusion and decay). After showing and motivating the proposed coordination approach for situated, adaptive, and diversity-accomodating pervasive computing systems, in this paper we outline how it is possible to concretise the approach on the TuCSoN coordination infrastructure, which can been suitably enhanced with modules supporting fuzzy semantic-coordination and execution engine for chemical-inspired coordination laws.
	Manenti L.; Manzoni S.; Vizzari G.; Ohtsuka K.; Shimura K.	Towards an agent-based proxemic model for pedestrian and group dynamic	2010	Models for the simulation of pedestrian dynamics and crowds of pedestrians have already been successfully applied to several scenarios and case studies, off-the-shelf simulators can be found on the market and they are commonly employed by end-user and consultancy companies. However, these models are the result of a first generation of research efforts considering individuals, their interactions with the environment and among themselves, but generally neglecting aspects like (a) the impact of cultural heterogeneity among individuals and (b) the effects of the presence of groups and particular relationships among pedestrians. This work is aimed, on one hand, at clarifying some fundamental anthropological considerations on which most pedestrian models are based, and in particular Edward T. Hall's work on proxemics. On the other hand, the paper will briefly describe the first steps towards the definition of an agentbased model encapsulating in the pedestrian's behavioural model effects capturing both proxemics and influences due to potential presence of groups in the crowd.
	Falcone R.; Castelfranchi C.	Transitivity in trust: A discussed property	2010	Transitivity in trust is very often considered as a quite simple property, trivially inferable from the classical transitivity defined in mathematics, logic, or grammar. In fact the complexity of the trust notion suggests evaluating the relationships with the transitivity in a more adequate way. In this paper, starting from a socio-cognitive model of trust, we analyze the different aspects and conceptual frameworks involved in this relation and show how different interpretations of these concepts produce different solutions and definitions of trust transitivity.
	Santi A.; Guidi M.; Ricci A.	Exploiting Agent-Oriented Programming for developing Android applications	2010	Agent-Oriented Programming (AOP) provides an effective level of abstraction for tackling the programming of mainstream software applications, in particular those that involve complexities related to concurrency, asynchronous events management and context-sensitive behaviour. In this paper we support this claim in practice by discussing the application of AOP technologies - Jason and CArtAgO in particular - for the development of smart nomadic applications based on the Google Android platform.
	Franchi E.	A multi-agent implementation of social networks	2010	In this paper, we present a multi-agent system implementing a fully distributed Social Network System supporting user profiles as FOAF profiles. This system is built around the idea that users should be the sole owners of the information they provide (either consciously or unconsciously) and addresses privacy issues by design, also minimizing the amount of information users have to disclose in order to make new friends. Users are represented by agents that both mediate access to private data and proactively negotiate with other agents in order to extend their user's social network. We also present the distributed connection discovery algorithm used by the agents and detail the representation of data in the users' profiles used to support the algorithm. The design is rather agnostic about the layer responsible for the communication technology; here we present a possible implementation on the top of the HDS software framework.
	Bergenti F.; Vargiu E.	Multi-agent systems in the industry three notable cases in Italy	2010	This paper reports on three notable examples of the use of multi-agent systems in the Italian Industry. First, we introduce the topic and we outline some examples of real-world agent-based software application. Then, we describe in details the use of multi-agent systems in three software packages for (i) personalized press reviews, (ii) monitoring boats in marine reserves, and (iii) advanced contact centers. Finally, we draw some conclusions and summarize the lesson learnt from described experiences. The discussion focuses on the benefits and problems that the choice of agent technology brought.
1	Piunti M.; Ricci A.; Boissier O.; Hübner J.F.	Programming open systems with agents, environments and organizations	2010	MAS research pushes the notion of openness related to systems combining heterogeneous computational entities. Typically, those entities answer to different purposes and functions and their integration is a crucial issue. Starting from a comprehensive approach in developing agents, organizations and environments, this paper devises an integrated approach and describes a unifying programming model. It introduces the notion of embodied organization, which is described first focusing on the main entities as separate concerns; and, second, establishing different interaction styles aimed to seamlessly integrate the various entities in a coherent system. An integration framework, built on top of Jason, CArtAgO andMoise (as programming platforms for agents, environments and organizations resp.) is described as a suitable technology to build embodied organizations in practice.
	Montagna S.; Omicini A.; Ricci A.	A multiscale agent-based model of morphogenesis in biological systems	2010	Studying the complex phenomenon of pattern formation created by the gene expression is a big challenge in the field of developmental biology. This spatial self-organisation autonomously emerges from the morphogenetic processes and the hierarchical organisation of biological systems seems to play a crucial role. Being able to reproduce the systems dynamics at different levels of such a hierarchy might be very useful. In this paper we propose the adoption of the agent-based model as an approach capable of capture multi-level dynamics. Each cell is modelled as an agent that absorbs and releases substances, divides, moves and autonomously regulates its gene expression. As a case study we present an agent-based model of Drosophila melanogaster morphogenesis. We then propose a formalisation of the model which clearly describe its main components. We finally show simulation results demonstrating the capability of the model of reproducing the expression pattern of the embryo.
	MacCagnan A.; Vardanega T.; Feltriny E.; Valley G.; Rivaz M.; Cannatax N.	A Multi-Agent System for the automated handling of experimental protocols in biological laboratories	2010	Software-based Laboratory Information Management Systems can handle samples, plates, instruments, users, potentially up to the automation of whole workflows. One frustrating element of this predicament is that Life Sciences laboratory protocols are normally expressed in natural languages and thus are scarcely amenable to real automation. We want to defeat this major limitation by way of a project combining Model-Driven Engineering, Workflows, Ontologies and Multiagent systems (MAS). This paper describes the latter ingredient. Our MAS has been implemented with JADE and WADE to automatically interpret and execute a structured representation of laboratory protocols expressed in XPDL+OWL. Our work has recently been tested on a real test case and will shortly be deployed in the field.
1	Baldoni M.; Baroglio C.; Bergenti F.; Boccalatte A.; Marengo E.; Martelli M.; Mascardi V.; Padovani L.; Patti V.; Ricci A.; Rossi G.; Santi A.	MERCURIO: An interaction-oriented framework for designing, verifying and programming multi-agent systems (position paper)	2010	This is a position paper reporting the motivations, the starting point and the guidelines that characterise the MERCURIO 1 project proposal, submitted to MIUR PRIN 2009 2. The aim is to develop formal models of interactions and of the related support infrastructures, that overcome the limits of the current approaches by explicitly representing not only the agents but also the computational environment in terms of rules, conventions, resources, tools, and services that are functional to the coordination and cooperation of the agents. The models will enable the verification of interaction properties of MAS from the global point of view of the system as well as from the point of view of the single agents, due to the introduction of a novel social semantic of interaction based on commitments and on an explicit account of the regulative rules.
	Fichera L.; Marletta D.; Nicosia V.; Santoro C.	A methodology to extend imperative languages with AgentSpeak declarative constructs	2010	This paper presents a novel technique for the support of declarative constructs of AgentSpeak in a imperative language. Starting from an analysis of the characteristics and semantics of AgentSpeak, as well as the requirements of an AgentSpeak implementation, the paper proposes a framework which, by exploiting object-orientation and operator overloading, is able to enrich an imperative language with declarative constructs suitable to represent and write AgentSpeak programs. A concrete implementation of the proposed framework is then given by presenting PROFETA (Python RObotic Framework for dEsigning sTrAtegies), a tool written in Python which adds to this language the capability to write and execute AgentSpeak plans. A case-study shows how PROFETA can be used to easily write strategies for an autonomous mobile robot, designed by the authors for the "Eurobot 2010" international robotic competition.
	Molesini A.; Omicini A.	Documenting SODA: An evaluation of the process documentation template	2010	This paper presents an experimental evaluation of the methodology documentation template proposed by the IEEE FIPA Design Process Documentation and Fragmentation working group [1]. Generally aimed at agent-oriented methodologies, the template is here put to the test by documenting the SODA methodology, so as to obtain a partial but significant evaluation of the template's strengths and weaknesses.
	Ferrari L.; Mamei M.	Classification of whereabouts patterns from large-scale mobility data	2010	Classification of users' whereabouts patterns is important for many emerging ubiquitous computing applications. Latent Dirichlet Allocation (LDA) is a powerful mechanism to extract recurrent behaviors and high-level patterns (called topics) from mobility data in an unsupervised manner. One drawback of LDA is that it is difficult to give meaningful and usable labels to the extracted topics. We present a methodology to automatically classify the topics with meaningful labels so as to support their use in applications. This mechanism is tested and evaluated using the Reality Mining dataset consisting of about 350000 hours of continuous data on human behavior.
	Tranquillin M.; Ferrari C.; Moro M.	Using mobile agents for secure biometric authentication	2010	This paper deals with the definition of a strong authentication model, coupling usual password/PIN based methods with a biometric matching, over a Multi Agent distributed infrastructure. When the user authentication procedure involves personal devices, the Multi Agent System model helps in the distribution of data and algorithms thanks to a better partitioning of roles and responsibilities, enhancing robustness to eavesdropping and tampering by properly moving agents around the system itself. The system architecture is based on specialized agents tied to the different devices, which safely communicate using both symmetric encryption for messages and asymmetric encryption to check principals' roles. Moreover, agents can carry on biometric parameters matching algorithms, bringing computation on those nodes with enough computing power. A complete authentication protocol has been developed and two different demos have been devised and tested. They differ for the tasks assigned to the mobile devices in use. Experiments show that agent capabilities, together with their power of migration, help in maintaining a higher level of security when mobile devices are involved.
1	Messina F.; Pappalardo G.; Santoro C.	A self-organising system for resource finding in large-scale computational grids	2010	This paper presents a novel approach for resource finding and job allocation in a computational Grid. The proposed system is called HYGRA, for HYperspace-based Grid Resource Allocation. The basic principle involves the construction of a virtual hyperspace in which the available amount of each resource type is used as a geometric coordinate, making each Grid node representable as a point in this virtual hyperspace. A distributed overlay construction algorithm aims at connecting each node with the nearest k nodes w.r.t. the euclidean distance defined in the hyperspace. In this system, a job request, which can be also represented as a point, navigates the hyperspace, from node to node, following the overlay links which minimize the euclidean distance between the current node and the target point representing the job itself. The paper describes the algorithms for overlay construction and resource finding and assesses their validity and performances by means of a simulation approach.
	Aronica S.; Benvegna F.; Cossentino M.; Gaglio S.; Langiu A.; Lodato C.; Lopes S.; Maniscalco U.; Sangiorgi P.	An agent-based system for maritime search and rescue operations	2010	Maritime search and rescue operations are critical missions involving personnel, boats, helicopter, aircrafts in a struggle against time often worsened by adversary sea and weather conditions. In such a context, telecommunication and information systems may play a crucial role sometimes concurring to successfully accomplish the mission. In this paper we present an application able to localize the vessel who has launched a rescue request and to plan the most effective path for rescue assets. The application has been realised as a distributed and open multi-agent system deployed on rescue vehicles as well as on a land maritime stations of the Italian Coast Guard. The system is going to be tested in real scenarios by the Coast Guard.
	Tomaiuolo M.; Turci P.	Peer-to-peer delegation for accessing Web services	2010	Hierarchical collaborations between cooperative, rational agents are quite naturally achieved through goal delegation. In the context of a service-oriented architecture, agents responsible for workflow management can subdivide their goals in sub-goals, generate a utility function from each sub-goal and set up a negotiation process with the agents associated to one or more Web services and responsible for the interaction with them. However, such delegations cannot come into effect unless they are associated with a corresponding delegation of privileges, which are needed to access some resources and achieve desired goals. In this paper we present a security mechanism for SOAP-style and REST-style Web services that allows the distribution of the delegation of access rights among different services and clients.
	Manenti L.; Manzoni L.; Manzoni S.	Towards an application of graph structure analysis to a MAS-based model of Proxemic distances in Pedestrian Systems	2010	This paper proposes the use of methods for network analysis in order to study the properties of a dynamic graph that model the interaction among agents in an agent-based model. This model is based on Multi Agent System definition and simulates a multicultural crowd in which proxemics theory and distance perception are taking into account. After a discussion about complex network analysis and crowd research context, an agent-based model based on SCA*PED (Situated Cellular Agents for PEdestrian Dynamics) approach is presented, based on two separated yet interconnected layers representing different aspects of the overall system dynamics. Then, an analysis of network derived from agent interactions in the Proxemic layer is proposed, identifying characteristic structures and their meaning in the crowd analysis. At the end an analysis related to the identification of those characteristic structures in some real examples is proposed.
	Minotti M.; Santi A.; Ricci A.	Developing Web Client applications with JaCa-Web	2010	We believe that agent-oriented programming languages and multi-agent programming technologies provide an effective level of abstraction for tackling the design and programming of mainstream software applications, in particular those that involve the management of asynchronous events and concurrency. In this paper we support this claim in practice by discussing the use of a platform integrating two main agent programming technologies - Jason agent programming language and CArtAgO environment programming framework - to the development of Web Client applications. Following the cloud computing perspective, these kinds of applications will more and more replace desktop applications, exploiting the Web infrastructure as a common distributed operating system, raising however challenges that are not effectively tackled - we argue - by mainstream programming paradigms, such as the objectoriented one.
	Addis A.; Armano G.	DomoBuilder: A multiagent architecture for home automation	2010	Current technologies permit people to make use of various systems able to fulfill most of their needs while being at home. However, their use is often not intuitive and they are also difficult to integrate. In this paper we propose a solution to these issues, together with a pragmatical demonstration of its effectiveness. The architectural solution we devised, called DomoBuilder, is aimed at abstracting hardware (i.e., electronic devices) and software (i.e., applications, systems), with specific emphasis on the ability of simplifying human interaction while combining heterogeneous devices within the same application. In so doing, system integration is promoted, making it easier to devise complex devices that implement new behaviors while preserving ease of use. A case study has also been devised and implemented, which highlights the great potential of the DomoBuilder architecture.
	Baldoni M.; Baroglio C.; Marengo E.; Patti V.; Capuzzimati F.	Learn the rules so you know how to break them properly	2011	Commitment-based protocols are receiving increasing attention as tools for the representation of business interaction in open MAS. As recent proposals, like 2CL, show when the reality to be modeled is characterized by a high degree of regulation, traditional commitment-based protocols, which account only for the constitutive specification of actions, are to be enriched with a regulative specification. This is the case of the measures foreseen by the Markets in Financial Instruments Directive, aimed at fostering the creation of an integrated financial market within the European Union. This work shows the usefulness of adopting a declarative commitment-based approach by applying it to the MiFID case study. We developed an extension of Winikoff et al.'s enhanced commitment machine, that accounts of 2CL temporal regulations. It allows the analysis of business protocols and, in particular, of the possible violations.
	Molesini A.; Denti E.; Omicini A.	BaSi: Multi-agent based simulation for medieval battles	2011	When dealing with non-trivial social systems, Multi- Agent Based Simulation (MABS) makes it possible to model and simulate social aspects without neglecting articulated motivations, decisions and behaviours by individuals. In this paper, we experiment with the simulation of a peculiar sort of social system - namely, Medieval Battles - by using general-purpose agent methodologies and technologies - namely, SODA and TuCSoN - in order to better understand and emphasise the benefits of MABS in the simulation of social systems.
	Amato A.; Di Martino B.; Venticinque S.	BDI intelligent agents for augmented exploitation of pervasive environments	2011	Agents based application should be able to use pervasive sensors as their own perceptors in order to let the users benefit of context awareness in services exploitation and in order to make mobile services really useful and profitable. The agents described in our approach adapt themselves in response to a changing environment and are able to respond differently, creating entirely new plans, and thus changing their own behavior depending on their past experience. We present a framework that implements the model to supports experts in the domain of the Cultural Heritage to augment the archaeological site with a set of multimedia contents which are delivered by intelligent services to the visitors in order to guide their tour and to enhance their perception of the reality.
	Cossentino M.; Lodato C.; Lopes S.; Ribino P.; Seidita V.; Chella A.	A UML-based notation for representing MAS organizations	2011	A notation for representing agents' organizations to be implemented using Moise+ and Jason is proposed. For this purpose a UML profile was defined for representing the elements of Moise+ organizational model such as role, mission and group. The proposed notation will be fully illustrated and applied to the classical example provided by the J-Moise+ team.
	Domnori E.; Cabri G.; Leonardi L.	A multi-agent approach for territorial emergency management	2011	The management of territorial emergencies and disasters has become a real issue in the healthcare system. The recent events such as earthquakes and inundations have brought into attention the need for an improvement of rescue operations in order to limit the lost of human lives. Such scenarios require a distributed, context-aware, reactive and autonomous support. In this paper we present an architectural approach for coordination based on the multi-agent technology. In the following, we will show how agents behaviour well fits to these requirements and how they can be efficiently applied to these problems.
	Franchi E.; Poggi A.; Tomaiuolo M.	Developing applications with HDS	2011	HDS (Heterogeneous Distributed System) is a software framework that tries to simplify the realization of distributed applications and, in particular, of multi-agent systems, by merging the client-server and the peer-to-peer paradigms and by implementing all the interactions among the processes of a system through the exchange of a kind of message that allows the implementation of a large set of communication protocols and languages. HDS has been experimented in the realization of systems for information retrieval and for the analysis of social networks.
	Locoro A.; Mascardi V.; Mortara F.; Sanna R.	Managing unavailabilities in a dynamic scenario following an agent-based approach	2011	The correct management of resources that can become unavailable over time and the efficient (in terms of both cost and time) re-allocation of the services they provided before becoming unavailable, is an open problem that arises in a wide range of application domains. Despite to some differences, many scenarios spanning very different domains, from logistics to industrial automation, from telecommunication to water systems, may be considered as instances of a more general situation, and the actions to take in order to solve the unavailability problem follow similar patterns. In this paper we discuss the implementation of a multiagent system for solving unavailability problems in an artificial - although realistic - scenario which takes inspiration from to the electricity power network domain.
	Manenti L.; Manzoni S.; Vizzari G.	MAKKSim: Dealing with pedestrian groups in MAS-based crowd simulation	2011	The paper presents MAKKSim, an agent-based tool for pedestrian dynamics simulation. The software is a second generation tool in which the presence of pedestrian groups and some cultural elements are explicitly modelled and can be set by the end-user. In this work, an overview on the MAKKSim model and software architecture is presented, by means of the definition of agent behaviours and the analysis of UML diagrams and enduser interface.
1	Cavone D.; De Carolis B.; Ferilli S.; Novielli N.	An agent-based approach for adapting the behavior of a Smart Home Environment	2011	In this paper we propose an agent-based approach for controlling the behavior of a Smart Home Environment that, based on the recognized situation and user goal, selects a suitable workflow for combining services of the environment. To this aim we have developed a butler agent that employs user and context modeling for supporting proactive adaptation of the interaction with the house. The user can interact with the proposed services by accepting, declining or changing them. Such a feedback is exploited by the learning component of the butler to refine the user model and improve its future behavior accordingly. In order to provide a description of how the system might work, a practical example is shown.
	Pianini D.; Viroli M.; Montagna S.	A simulation framework for pervasive services ecosystems	2011	This paper grounds on the SAPERE project (Self- Aware PERvasive Service Ecosystems), which aims at proposing a multi-agent framework for pervasive computing, based on the idea of making each agent (service, device, human) manifest its existence in the ecosystem by a Live Semantic Annotation (LSA), and of coordinating agent activities by a small and fixed set of so-called eco-laws-sort of chemical-like reactions over patterns of LSAs. System dynamics in SAPERE is complex because of opennes and due to the self-requirements imposed by the pervasive computing setting: a simulation framework is hence needed for what-if analysis prior to deployment. In this paper we present a prototype simulator we are developing, tested on a crowd steering scenario. Due to the role of chemicallike dynamics, this is based on a variation of an existing SSA (Stochastic Simulation Algorithm), suitable tailored to the specific features of SAPERE, including dynamicity of network topology, pattern-based application of eco-laws, and temporal triggers.
	De Luca F.; Tundis A.; Garro A.	PROCE: An agent-based PROcess Composition and execution Environment	2011	The paper presents PROCE (PROcess Composition and execution Environment), an agent-based CAME and CASE tool which supports the composition of software development processes, based on the Method Engineering paradigm, and their execution. In particular, the current release of PROCE provides an integrated and flexible environment for the design of SOA applications.
	Bandini S.; Rubagotti F.; Vizzari G.; Shimura K.	A cellular automata model for pedestrian and group dynamics	2011	The simulation of pedestrian dynamics is a consolidated area of application for cellular automata based models: successful case studies can be found in the literature and off-the-shelf simulators are commonly employed by end-users, decision makers and consultancy companies. These models, however, generally consider individuals, their interactions with the environment and among themselves, but they generally neglect (or treat in a simplistic way) aspects like (i) the impact of cultural heterogeneity among individuals and (ii) the effects of the presence of groups and particular relationships among pedestrians. This work describes an innovative cellular automata based model encapsulating in the pedestrian's behavioural model effects representing both proxemics and a simplified account of influences related to the presence of groups in the crowd. The model is tested in a simple scenario to evaluate the implications of some modeling choices and the presence of groups in the simulated scenario. Results are discussed and compared to experimental observations and to data available in the literature.
	Cavone D.; Bergenti F.; Gotta D.	Semantic web services and agents: A reality check	2011	This paper aims at analyzing the state of the art of Web services to understand how they can now play a crucial role in the landscape of agent systems, after several years of uncertainty. The study is first outlined by illustrating the main interfaces and protocols that are now emerging and by providing a list of the main repositories of Web services that are really available in the network. The results of the study clearly show that Representational State Transfer (RESTful) services are overtaking Simple Object Access Protocol (SOAP) services. Moreover, the results emphasize the lack of really effective repositories. The study also highlights the almost total absence of semantics in surveyed repositories, thus severely limiting the accurate rating of Web services. The overall judgment on the situation of Web service repositories is that it is surprisingly still immature, especially in the Italian and European landscapes. This is the reason why we decided to propose a novel Web portal meant to become an active and maintained collector of semantic Web services accessible to users (especially in Italy) and able to create a solid base for developing agent-based service systems.
	Fortino G.; Galzarano S.; Gravina R.; Guerrieri A.	Agent-based development of wireless sensor network applications	2011	Due to the growing exploitation of wireless sensor networks (WSNs) for enhancing all major conventional application domains and enabling brand new application domains, the development of applications based on WSNs has recently gained a significant focus. Thus, design methods, middleware and frameworks have been defined and made available to support high-level programming of WSN applications. However, even though many proposals do exist, more research efforts should still be devoted to the definition of WSN-oriented methodologies and tools fully supporting the development lifecycle of WSN applications. In this paper, we promote the use of the agent paradigm for the development of WSN applications. After providing motivations about synergies between agents and WSNs and a brief overview about agent technology for WSNs, we describe the use of MAPS (Mobile Agent Platform for Sun SPOTs), our agent platform for WSNs, for the development of applications in important application domains based on wireless body sensor networks (e.g. e-Health) and building sensor and actuator networks (e.g. energy efficient buildings). Finally, we delineate the characteristics on which fullfledged agent-oriented methodologies for WSN applications could be built.
1	Forestiero A.; Mastroianni C.	Description of the Self-Chord P2P application	2011	This paper presents the implementation of the "Self-Chord" P2P system. Self-Chord inherits the ability of Chord-like structured systems for the construction and maintenance of an overlay of peers, but features enhanced functionalities deriving from ant-inspired algorithms, such as autonomy behavior, self-organization and capacity to adapt to a changing environment. Self-Chord has three main advantages with respect to classical structured P2P systems, especially in the context of Grid and Cloud Computing: (i) it is possible execute range queries efficiently; (ii) the load balance among peers is improved; (iii) maintenance load is reduced because resources are spontaneously redistributed when peers disconnect or reconnect to the systems, or when resources are added/modified. In this paper, we summarize the main functionalities of the Self-Chord application, and illustrate the configuration and parameter settings, with the help of an example.
	Serra R.	On the dynamics of gene regulatory networks	2011	It is shown that a simplified model of genetic regulatory networks, aimed at the study of their generic properties, can shed light on some important biological phenomena. Two cases are analyzed, namely perturbations in gene expression induced in an organism by the knock-out of selected genes, and cell differentiation. The role of simplified models in biology is discussed.
	Briola D.; Mascardi V.	Multi agent resource allocation: A comparison of five negotiation protocols	2011	This paper describes five systems that exploit negotiation strategies to solve multiagent resource allocation problems. A deep comparison is drawn among them according to different criteria that involve general features of the systems; adherence to widely accepted agent definitions; domain, purpose, and approach; analysis, design and implementation of the negotiation protocol. Considerations on how extending one of the analyzed systems in order to move a concrete step towards the realization of an integrated platform for developing negotiation protocols are also provided in the conclusions.
1	Viroli M.; Nardini E.; Castelli G.; Mamei M.; Zambonelli F.	Coordinating spatially-situated pervasive service ecosystems	2011	Technology evolution is providing new pervasive service scenarios characterised by a huge number of distributed and dynamic devices. Accordingly, a new generation of services and infrastructures are emerging which support situatedness, adaptivity and diversity. In this paper we model the overall world of services, data and devices, as a distributed computational ecosystem. Each entity will be modelled as an autonomous, spatially-situated individual of the ecosystem, whose existence is reified by an LSA (Live Semantic Annotation). Ecosystem's behaviour is controlled by coordination rules called eco-laws, which are sort of chemical-like reactions evolving the population of LSAs. We describe an architecture supporting this vision, a formal model of eco-laws, and finally show their usefulness in a scenario of crowd steering through pervasive displays.
	Rosaci D.; Sarné G.M.L.; Garruzzo S.	TRR: An integrated reliability-reputation model for agent societies	2011	Several reliability-reputation models to support agents' decisions have been proposed in the past and many of them combine together reliability and reputation in a synthetic trust measure. In this context, we present a new trust model, called TRR, that considers, from a mathematical viewpoint, the interdependence between these two trust measures. This important feature of TRR is exploited to dynamically compute a parameter determining the importance of the reliability with respect to the reputation. Some experiments performed on the well-known ART platform show the advantages, in terms of effectiveness, introduced by the TRR approach.
	Fortino G.; Garro A.; Russo W.; Vaccaro M.	Performance evaluation of Content Distribution Network architectures through Agent-Based Modeling and Simulation	2011	Agent-Based Modeling and Simulation (ABMS) has emerged as a new and powerful technology for the analysis of natural and artificial complex systems. In this paper ABMS is exploited for the modeling and performance evaluation of Conventional, Clustered and Cooperative Content Distribution Network (CDN) architectures. Clustered and Cooperative architectures differ from Conventional architectures as surrogate servers can loosely (in the Cooperative architectures) or tightly (in the Clustered architectures) cooperate to provide the requested contents to users. The results obtained from the simulation phase show that the Clustered architectures allow for significant improvements of the main CDN performance indices (average user perceived latency, cache hit ratio, and CDN utility) with respect to Conventional and Cooperative architectures.
	Manenti L.; Manzoni S.	Crystals of crowd: Modelling pedestrian groups using MAS-based approach	2011	The paper presents an agent-based model for the explicit representation of groups of pedestrians in a crowd. The model is the result of a multidisciplinary research (CRYSTALS project) where multicultural dynamics and spatial and sociocultural relationships among individuals are considered as first class elements for the simulation of crowd of pilgrims taking to the annual pilgrimage towards Makkah. After an introduction of advantages of Multi-Agent System approach for pedestrian dynamics modelling, a formal description of the model is proposed. The scenario in which the model was developed and some examples about modelling heterogeneous groups of pedestrians are described.
	Bergenti F.; Caire G.; Gotta D.; Long D.; Sacchi G.	Enacting BPM-oriented workflows with Wade	2011	This paper has two main focuses. First it provides a review on the reasons why agent technologies are a good choice for BPM (Business Process Management). A brief survey of the literature on the subject is presented and a critical revision of the main motivations that are commonly accepted for the use of agents in BPM is presented taking into account recent technological developments. Then, the paper presents the recent developments of Wade (Workflow and Agent Development Environment) and it confers such developments and value-added features in the scope of the initial discussion. Finally, the paper briefly enumerates some successful applications of the presented technologies in Telecom Italia. Such applications are so important and demanding that their implementation using agentbased approaches is an outstanding result for agent technology.
	Schaerf A.	A survey of multi-agent systems for optimization problems	2011	Optimization problems, such as resource allocation or scheduling, often involves different entities, such as departments or production units, which might have different constraints and objectives, but are interested in cooperating. In this presentation, we survey various scenarios and the solutions proposed in the literature for this kind of situations. We start from simple distributed constraint satisfaction problems, to move to more complex situations involving contract nets and Markov Decision Problems. Finally, we discuss various kinds of auctions and market mechanisms to solve this kind of problems using a timetabling problem as running example.
